index,id,eventType,teamId,playerId,playerName,x,y,min,minAdded,isBlocked,isOnTarget,blockedX,blockedY,goalCrossedY,goalCrossedZ,expectedGoals,expectedGoalsOnTarget,shotType,situation,period,isOwnGoal,firstName,lastName,teamColor,shortName,matchId,onGoalShot_X,onGoalShot_Y,onGoalShot_ZR
12,2467275639,AttemptSaved,8650,950561,Darwin Nunez,97.8596491223,23.789044056056433,41,,0,1,101.206896552,29.799761903000004,32.551249999999996,0.4879999976,0.33851590752601624,0.4709,RightFoot,RegularPlay,FirstHalf,0,Darwin,Nunez,#d3171e,,4010125,1.3832671957671967,0.12910052846560846,1
13,2467277847,AttemptSaved,8650,950561,Darwin Nunez,86.13823856975176,33.92375116348266,43,,0,1,100.6379310348,33.8475,35.90625,0.7705263120000001,0.1577281653881073,0.0891,LeftFoot,RegularPlay,FirstHalf,0,Darwin,Nunez,#d3171e,,4010125,0.49570105820105825,0.2038429396825397,1
14,2467278257,Miss,8650,172949,Thiago Alcántara,83.49854540806557,31.026248836517333,44,,0,0,,,41.425625,6.1488275976,0.04156839847564697,,RightFoot,RegularPlay,FirstHalf,0,Thiago,Alcántara,#d3171e,Thiago,4010125,0.18212136717614025,0.6772486772486772,0.41633953129523665
15,2467295585,AttemptSaved,8650,671529,Konstantinos Tsimikas,98.5350847743214,45.68229512787427,49,,1,1,99.4035087719,44.2810191037,35.0675,0.44305262940000006,0.04622817039489746,,LeftFoot,RegularPlay,SecondHalf,0,Konstantinos,Tsimikas,#d3171e,,4010125,0.7175925925925919,0.11720969031746033,1
16,2467297057,Miss,8650,950561,Darwin Nunez,85.49411437024823,47.71413798622574,50,,0,0,,,29.967857141,4.7063448344,0.034678250551223755,,RightFoot,RegularPlay,SecondHalf,0,Darwin,Nunez,#d3171e,,4010125,1.580230202805271,0.6772486772486772,0.5439465423970294
17,2467300061,Goal,8650,292462,Mohamed Salah,94,34,53,,0,1,,,34.07625,0.7705263120000001,0.7884,0.7938,LeftFoot,Penalty,SecondHalf,0,Mohamed,Salah,#d3171e,,4010125,0.9798280423280419,0.2038429396825397,1
18,2467301429,AttemptSaved,8650,292462,Mohamed Salah,95.06140203506071,25.53375,55,,1,1,96.79824561320001,27.026190476,35.83,1.2199999940000001,0.09174472093582153,,LeftFoot,RegularPlay,SecondHalf,0,Mohamed,Salah,#d3171e,,4010125,0.5158730158730164,0.32275132116402117,1
19,2467306381,AttemptSaved,8650,570461,Diogo Jota,92.69999694824219,42.870937941074374,59,,0,1,102.4396551726,36.745000000000005,35.75375,1.6630526234,0.12977123260498047,0.1387,LeftFoot,RegularPlay,SecondHalf,0,Diogo,Jota,#d3171e,,4010125,0.5360449735449745,0.4399610114814815,1
20,2467306961,Miss,8650,292462,Mohamed Salah,86.24558987287588,20.005604831128217,60,,0,0,,,37.27875,5.1842758704000005,0.025188475847244263,,LeftFoot,FromCorner,SecondHalf,0,Mohamed,Salah,#d3171e,,4010125,0.571679988480672,0.6772486772486772,0.4938008825140857
22,2467315691,Miss,8650,860914,Luis Diaz,92.30000305175781,43.230063154656435,68,,0,0,,,23.438726119099996,1.6951578864,0.09221458435058594,,RightFoot,RegularPlay,SecondHalf,0,Luis,Diaz,#d3171e,,4010125,2,0.16050695261919892,0.3579113696536273
