,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal,cardType,isOwnGoal,match_id,event_type,cumulative_mins,index,id,match_string,team_name,Venue,xThreat,xThreat_gen,playerName,is_open_play,is_progressive,is_pass_into_box,won_possession,is_carry_into_box,progressive_carry
22,13.0,0.0,39.0,52,13.2,49.3,0.0,1.0,,Successful,"[{'Angle': '2.7'}, {'Length': '10.9'}, {'PassEndY': '55.5'}, {'Zone': 'Back'}, {'PassEndX': '3.6'}, {'StandingSave': True}]","['touches', 'passAccurate', 'shortPassAccurate', 'passBack', 'passLeft', 'defensiveThird', 'pos']",True,104010.0,3.6,55.5,,,,,,,,,,,1694372,Pass,0.65,20.0,2520480929.0,Real Madrid - Liverpool,Real Madrid,Home,-0.0013157108943177,0.0,Antonio Rüdiger,True,False,,False,,
23,14.0,0.0,40.0,52,3.1,56.3,0.0,1.0,,Unsuccessful,"[{'Length': '82.4'}, {'Angle': '6.2'}, {'PassEndY': '44.2'}, {'Zone': 'Center'}, {'PassEndX': '81.2'}, {'StandingSave': True}, {'Longball': True}]","['touches', 'passInaccurate', 'passLongBallInaccurate', 'passForward', 'passRight', 'finalThird', 'pos']",True,73798.0,81.2,44.2,,,,,,,,,,,1694372,Pass,0.6666666666666666,21.0,2520480961.0,Real Madrid - Liverpool,Real Madrid,Home,,,Thibaut Courtois,True,True,,False,,
24,13.0,0.0,46.0,26,19.3,52.7,0.0,1.0,,Successful,[],['ballRecovery'],False,114147.0,,,,,,,,,,,,,1694372,BallRecovery,0.7666666666666666,22.0,2520480969.0,Real Madrid - Liverpool,Liverpool,Away,,,Alisson,True,False,,True,,
25,14.0,0.0,48.0,26,21.6,52.4,0.0,1.0,,Successful,"[{'PassEndY': '30.4'}, {'Zone': 'Back'}, {'StandingSave': True}, {'PassEndX': '28.0'}, {'Length': '16.4'}, {'Angle': '5.1'}]","['touches', 'passAccurate', 'shortPassAccurate', 'passForward', 'passRight', 'defensiveThird', 'pos']",True,114147.0,28.0,30.4,,,,,,,,,,,1694372,Pass,0.8,23.0,2520480987.0,Real Madrid - Liverpool,Liverpool,Away,0.0004878662759155,0.0004878662759155,Alisson,True,False,,False,,
26,15.0,0.0,50.0,26,27.4,33.4,0.0,1.0,,Successful,"[{'Angle': '1.6'}, {'StandingSave': True}, {'Zone': 'Back'}, {'PassEndX': '27.4'}, {'Length': '24.5'}, {'PassEndY': '69.4'}]","['touches', 'passAccurate', 'shortPassAccurate', 'passLeft', 'defensiveThird', 'pos']",True,345957.0,27.4,69.4,,,,,,,,,,,1694372,Pass,0.8333333333333334,24.0,2520481009.0,Real Madrid - Liverpool,Liverpool,Away,0.000218121542556,0.000218121542556,Ibrahima Konaté,True,False,,False,,
27,15.5,0.0,52.0,26,27.4,69.4,0.0,1.0,"{'value': 99, 'displayName': 'Carry'}",Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,95408.0,30.3,68.2,,,,,,16.0,,,,,1694372,Carry,0.8666666666666667,,,,,,0.0004617197049977,0.0004617197049977,Virgil van Dijk,True,False,,False,,
28,16.0,0.0,54.0,26,30.3,68.2,0.0,1.0,,Successful,"[{'PassEndX': '41.4'}, {'Angle': '5.6'}, {'Length': '15.4'}, {'StandingSave': True}, {'Zone': 'Back'}, {'PassEndY': '53.4'}]","['touches', 'passAccurate', 'shortPassAccurate', 'passForward', 'passRight', 'midThird', 'pos']",True,95408.0,41.4,53.4,,,,,,,,,,,1694372,Pass,0.9,25.0,2520481019.0,Real Madrid - Liverpool,Liverpool,Away,0.0022205839326263,0.0022205839326263,Virgil van Dijk,True,False,,False,,
29,17.0,0.0,56.0,26,44.0,54.9,0.0,1.0,,Successful,"[{'Length': '14.0'}, {'StandingSave': True}, {'PassEndY': '34.3'}, {'Angle': '4.8'}, {'Zone': 'Back'}, {'PassEndX': '44.8'}]","['touches', 'passAccurate', 'shortPassAccurate', 'passForward', 'passRight', 'midThird', 'pos']",True,115916.0,44.8,34.3,,,,,,,,,,,1694372,Pass,0.9333333333333332,26.0,2520481035.0,Real Madrid - Liverpool,Liverpool,Away,-0.0003314008706679,0.0,Fabinho,True,False,,False,,
30,18.0,0.0,59.0,26,43.3,33.4,0.0,1.0,,Successful,"[{'StandingSave': True}, {'Zone': 'Back'}, {'PassEndY': '9.4'}, {'Length': '16.3'}, {'PassEndX': '43.6'}, {'Angle': '4.7'}]","['touches', 'passAccurate', 'shortPassAccurate', 'passForward', 'passRight', 'midThird', 'pos']",True,352825.0,43.6,9.4,,,,,,,,,,,1694372,Pass,0.9833333333333332,27.0,2520481047.0,Real Madrid - Liverpool,Liverpool,Away,-0.0013752627175899,0.0,Cody Gakpo,True,False,,False,,
31,19.0,1.0,1.0,26,43.6,9.4,1.0,1.0,,Successful,"[{'PassEndX': '54.5'}, {'Zone': 'Right'}, {'PassEndY': '4.7'}, {'Angle': '6.0'}, {'Length': '11.9'}, {'StandingSave': True}]","['touches', 'passForwardZoneAccurate', 'passAccurate', 'shortPassAccurate', 'passForward', 'passRight', 'midThird', 'pos']",True,318871.0,54.5,4.7,,,,,,,,,,,1694372,Pass,1.0166666666666666,28.0,2520481059.0,Real Madrid - Liverpool,Liverpool,Away,0.0025034675449172,0.0025034675449172,Trent Alexander-Arnold,True,False,,False,,
